Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous regressor Model,Link prediction,link prediction topk,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma,k_out,lambda,density
0.185,0.2225,0.05625,0.2875,0.2,0.04125,0.1325,0.0,0.0,0.0,0,0,0.1,-1000.0,full_weighted,-1000.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0
0.1875,0.3,0.05625,0.99,1.0,0.03875,0.15375,0.0,0.0,0.0,0,0,0.1,-1000.0,full_weighted,-1000.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0
0,0,0,0.08625,0.98,0.056239015817223195,0.1634446397188049,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.155,0.99625,0.0773286467486819,0.1616871704745167,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.365,1.0,0.46748681898066785,0.8471001757469244,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.0975,1.0,0.04569420035149385,0.15641476274165203,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.08,0.98,0.056239015817223195,0.1634446397188049,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,vggish
0,0,0,0.0675,0.9925,0.04569420035149385,0.14586994727592267,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,vggish
0,0,0,0.165,0.99875,0.0773286467486819,0.1616871704745167,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,vggish
0,0,0,0.38,1.0,0.46748681898066785,0.8471001757469244,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,vggish
0,0,0,0.08875,1.0,0.04569420035149385,0.15641476274165203,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,vggish
0,0,0,0.0875,0.985,0.056239015817223195,0.1634446397188049,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,mel_spec
0,0,0,0.0775,0.99625,0.04569420035149385,0.14586994727592267,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,mel_spec
0,0,0,0.155,0.99875,0.0773286467486819,0.1616871704745167,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,mel_spec
0,0,0,0.08375,0.99125,0.056239015817223195,0.1634446397188049,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.07625,1.0,0.8945518453427065,0.9648506151142355,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.36125,1.0,0.08963093145869948,0.23725834797891038,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.0875,1.0,0.5430579964850615,0.8418277680140598,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.085,0.99875,0.0351493848857645,0.1335676625659051,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,vggish
0,0,0,0.08,1.0,0.0351493848857645,0.1335676625659051,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
