2025-05-24 13:14:51,759 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 2.769463300704956, Accuracy: 11.50%
Epoch 10, Loss: 1.7509818077087402, Accuracy: 35.25%
Epoch 20, Loss: 1.2932181358337402, Accuracy: 54.50%
Epoch 30, Loss: 0.8765525221824646, Accuracy: 75.00%
Epoch 40, Loss: 0.5108551979064941, Accuracy: 87.75%
Epoch 50, Loss: 0.24735817313194275, Accuracy: 97.00%
Epoch 60, Loss: 0.10725338757038116, Accuracy: 99.75%
Epoch 70, Loss: 0.04675577953457832, Accuracy: 100.00%
Epoch 80, Loss: 0.02270224317908287, Accuracy: 100.00%
Epoch 90, Loss: 0.0132745411247015, Accuracy: 100.00%
2025-05-24 13:15:12,283 - INFO - Model saved to models/hetero_gnn_edge_regressor.pth
Epoch 0, Loss: 26.7161, BCE Loss: 26.7161
Epoch 10, Loss: 24.5086, BCE Loss: 24.5086
Epoch 20, Loss: 22.6762, BCE Loss: 22.6762
Epoch 30, Loss: 17.8467, BCE Loss: 17.8467
Epoch 40, Loss: 17.4274, BCE Loss: 17.4274
Epoch 50, Loss: 16.0313, BCE Loss: 16.0313
Epoch 60, Loss: 15.6159, BCE Loss: 15.6159
Epoch 70, Loss: 14.5649, BCE Loss: 14.5649
Epoch 80, Loss: 13.9779, BCE Loss: 13.9779
Epoch 90, Loss: 13.0139, BCE Loss: 13.0139
Epoch 100, Loss: 12.4022, BCE Loss: 12.4022
Epoch 110, Loss: 12.1258, BCE Loss: 12.1258
Epoch 120, Loss: 11.7799, BCE Loss: 11.7799
Epoch 130, Loss: 11.4511, BCE Loss: 11.4511
Epoch 140, Loss: 11.1385, BCE Loss: 11.1385
Epoch 150, Loss: 10.6172, BCE Loss: 10.6172
Epoch 160, Loss: 10.3078, BCE Loss: 10.3078
Epoch 170, Loss: 10.1160, BCE Loss: 10.1160
Epoch 180, Loss: 9.7167, BCE Loss: 9.7167
Epoch 190, Loss: 9.6451, BCE Loss: 9.6451
2025-05-24 13:15:55,981 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 2.5243124961853027, Accuracy: 12.50%
Epoch 10, Loss: 1.428909182548523, Accuracy: 52.00%
Epoch 20, Loss: 0.8778572678565979, Accuracy: 76.25%
Epoch 30, Loss: 0.4858047366142273, Accuracy: 89.25%
Epoch 40, Loss: 0.23708894848823547, Accuracy: 98.00%
Epoch 50, Loss: 0.10853952169418335, Accuracy: 99.50%
Epoch 60, Loss: 0.05126268044114113, Accuracy: 100.00%
Epoch 70, Loss: 0.027010399848222733, Accuracy: 100.00%
Epoch 80, Loss: 0.01652953028678894, Accuracy: 100.00%
Epoch 90, Loss: 0.011365915648639202, Accuracy: 100.00%
2025-05-24 13:16:16,635 - INFO - Model saved to models/hetero_gnn_edge_regressor.pth
Epoch 0, Loss: 29.1784, BCE Loss: 29.1784
Epoch 10, Loss: 18.6058, BCE Loss: 18.6058
Epoch 20, Loss: 26.1545, BCE Loss: 26.1545
Epoch 30, Loss: 23.2651, BCE Loss: 23.2651
Epoch 40, Loss: 15.1328, BCE Loss: 15.1328
Epoch 50, Loss: 14.6816, BCE Loss: 14.6816
Epoch 60, Loss: 12.1958, BCE Loss: 12.1958
Epoch 70, Loss: 12.0374, BCE Loss: 12.0374
Epoch 80, Loss: 10.7541, BCE Loss: 10.7541
Epoch 90, Loss: 9.6025, BCE Loss: 9.6025
Epoch 100, Loss: 8.9105, BCE Loss: 8.9105
Epoch 110, Loss: 8.4399, BCE Loss: 8.4399
Epoch 120, Loss: 8.0175, BCE Loss: 8.0175
Epoch 130, Loss: 7.3250, BCE Loss: 7.3250
Epoch 140, Loss: 6.9755, BCE Loss: 6.9755
Epoch 150, Loss: 6.8587, BCE Loss: 6.8587
Epoch 160, Loss: 6.5567, BCE Loss: 6.5567
Epoch 170, Loss: 6.1666, BCE Loss: 6.1666
Epoch 180, Loss: 5.9902, BCE Loss: 5.9902
Epoch 190, Loss: 5.9235, BCE Loss: 5.9235
2025-05-24 13:19:09,867 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 3.3267128467559814, Accuracy: 13.75%
Epoch 10, Loss: 1.820586919784546, Accuracy: 47.50%
Epoch 20, Loss: 1.1389193534851074, Accuracy: 71.75%
Epoch 30, Loss: 0.7048866152763367, Accuracy: 87.75%
Epoch 40, Loss: 0.42251038551330566, Accuracy: 98.00%
Epoch 50, Loss: 0.2737939655780792, Accuracy: 99.75%
Epoch 60, Loss: 0.20676763355731964, Accuracy: 100.00%
Epoch 70, Loss: 0.1803821623325348, Accuracy: 100.00%
Epoch 80, Loss: 0.1684725135564804, Accuracy: 100.00%
Epoch 90, Loss: 0.1621117889881134, Accuracy: 100.00%
2025-05-24 13:19:28,608 - INFO - Model saved to models/hetero_gnn_edge_regressor.pth
Epoch 0, Loss: 20.1107, BCE Loss: 19.9358
Epoch 10, Loss: 18.5780, BCE Loss: 18.3995
Epoch 20, Loss: 25.4116, BCE Loss: 25.2310
Epoch 30, Loss: 15.2751, BCE Loss: 15.0962
Epoch 40, Loss: 13.7113, BCE Loss: 13.5329
Epoch 50, Loss: 12.1722, BCE Loss: 11.9963
Epoch 60, Loss: 11.0907, BCE Loss: 10.9154
Epoch 70, Loss: 9.4214, BCE Loss: 9.2470
Epoch 80, Loss: 8.5506, BCE Loss: 8.3767
Epoch 90, Loss: 7.6007, BCE Loss: 7.4278
Epoch 100, Loss: 7.2085, BCE Loss: 7.0362
Epoch 110, Loss: 6.7786, BCE Loss: 6.6068
Epoch 120, Loss: 6.5021, BCE Loss: 6.3309
Epoch 130, Loss: 6.0433, BCE Loss: 5.8727
Epoch 140, Loss: 5.9131, BCE Loss: 5.7432
Epoch 150, Loss: 5.5880, BCE Loss: 5.4188
Epoch 160, Loss: 5.3757, BCE Loss: 5.2073
Epoch 170, Loss: 5.1712, BCE Loss: 5.0037
Epoch 180, Loss: 5.0760, BCE Loss: 4.9094
Epoch 190, Loss: 4.7813, BCE Loss: 4.6156
2025-05-24 13:20:14,100 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 3.1186716556549072, Accuracy: 12.75%
Epoch 10, Loss: 1.91823410987854, Accuracy: 40.75%
Epoch 20, Loss: 1.3443760871887207, Accuracy: 63.75%
Epoch 30, Loss: 0.8576923608779907, Accuracy: 82.75%
Epoch 40, Loss: 0.5283928513526917, Accuracy: 95.50%
Epoch 50, Loss: 0.32418912649154663, Accuracy: 99.25%
Epoch 60, Loss: 0.22364115715026855, Accuracy: 100.00%
Epoch 70, Loss: 0.18449382483959198, Accuracy: 100.00%
Epoch 80, Loss: 0.16923436522483826, Accuracy: 100.00%
Epoch 90, Loss: 0.16202524304389954, Accuracy: 100.00%
2025-05-24 13:20:34,826 - INFO - Model saved to models/hetero_gnn_edge_regressor.pth
Epoch 0, Loss: 29.0031, BCE Loss: 28.8267
Epoch 10, Loss: 24.4654, BCE Loss: 24.2898
Epoch 20, Loss: 20.8527, BCE Loss: 20.6778
Epoch 30, Loss: 17.7520, BCE Loss: 17.5766
Epoch 40, Loss: 16.3890, BCE Loss: 16.2141
Epoch 50, Loss: 14.9372, BCE Loss: 14.7627
Epoch 60, Loss: 14.0947, BCE Loss: 13.9208
Epoch 70, Loss: 13.5558, BCE Loss: 13.3826
Epoch 80, Loss: 12.9596, BCE Loss: 12.7873
Epoch 90, Loss: 12.6260, BCE Loss: 12.4548
Epoch 100, Loss: 12.0680, BCE Loss: 11.8980
Epoch 110, Loss: 10.9783, BCE Loss: 10.8097
Epoch 120, Loss: 10.2121, BCE Loss: 10.0449
Epoch 130, Loss: 9.0093, BCE Loss: 8.8429
Epoch 140, Loss: 8.1518, BCE Loss: 7.9861
Epoch 150, Loss: 6.5631, BCE Loss: 6.3982
Epoch 160, Loss: 4.9574, BCE Loss: 4.7925
Epoch 170, Loss: 4.5381, BCE Loss: 4.3748
Epoch 180, Loss: 4.1664, BCE Loss: 4.0042
Epoch 190, Loss: 3.9724, BCE Loss: 3.8112
2025-05-24 13:23:34,343 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 3.3205676078796387, Accuracy: 10.75%
Epoch 10, Loss: 2.0886828899383545, Accuracy: 39.00%
Epoch 20, Loss: 1.5974065065383911, Accuracy: 59.25%
Epoch 30, Loss: 1.1059893369674683, Accuracy: 80.00%
Epoch 40, Loss: 0.7204068899154663, Accuracy: 91.50%
Epoch 50, Loss: 0.47222864627838135, Accuracy: 99.00%
Epoch 60, Loss: 0.3643213212490082, Accuracy: 100.00%
Epoch 70, Loss: 0.32604309916496277, Accuracy: 100.00%
Epoch 80, Loss: 0.3109608590602875, Accuracy: 100.00%
Epoch 90, Loss: 0.30384624004364014, Accuracy: 100.00%
2025-05-24 13:23:53,258 - INFO - Model saved to models/hetero_gnn_edge_regressor.pth
Epoch 0, Loss: 33.0498, BCE Loss: 32.7083
Epoch 10, Loss: 22.2003, BCE Loss: 21.8667
Epoch 20, Loss: 16.1341, BCE Loss: 15.8028
Epoch 30, Loss: 13.7710, BCE Loss: 13.4428
Epoch 40, Loss: 12.7070, BCE Loss: 12.3808
Epoch 50, Loss: 11.7084, BCE Loss: 11.3844
Epoch 60, Loss: 10.7305, BCE Loss: 10.4089
Epoch 70, Loss: 10.2391, BCE Loss: 9.9196
Epoch 80, Loss: 10.0319, BCE Loss: 9.7140
Epoch 90, Loss: 9.6546, BCE Loss: 9.3391
Epoch 100, Loss: 9.4101, BCE Loss: 9.0971
Epoch 110, Loss: 9.2982, BCE Loss: 8.9874
Epoch 120, Loss: 9.2176, BCE Loss: 8.9087
Epoch 130, Loss: 9.1531, BCE Loss: 8.8460
Epoch 140, Loss: 8.9940, BCE Loss: 8.6886
Epoch 150, Loss: 8.6067, BCE Loss: 8.3035
Epoch 160, Loss: 8.1046, BCE Loss: 7.8033
Epoch 170, Loss: 7.2841, BCE Loss: 6.9841
Epoch 180, Loss: 5.0290, BCE Loss: 4.7285
Epoch 190, Loss: 3.6971, BCE Loss: 3.3968
2025-05-24 13:24:38,161 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 2.6458323001861572, Accuracy: 15.75%
Epoch 10, Loss: 2.193629741668701, Accuracy: 27.50%
Epoch 20, Loss: 1.7441601753234863, Accuracy: 52.25%
Epoch 30, Loss: 1.283661127090454, Accuracy: 76.00%
Epoch 40, Loss: 0.9258811473846436, Accuracy: 87.00%
Epoch 50, Loss: 0.6552266478538513, Accuracy: 93.75%
Epoch 60, Loss: 0.48221033811569214, Accuracy: 98.75%
Epoch 70, Loss: 0.3878709077835083, Accuracy: 99.50%
Epoch 80, Loss: 0.3427664637565613, Accuracy: 100.00%
Epoch 90, Loss: 0.32218044996261597, Accuracy: 100.00%
2025-05-24 13:24:57,831 - INFO - Model saved to models/hetero_gnn_edge_regressor.pth
Epoch 0, Loss: 42.9348, BCE Loss: 42.5683
Epoch 10, Loss: 34.3137, BCE Loss: 33.9546
Epoch 20, Loss: 26.0334, BCE Loss: 25.6701
Epoch 30, Loss: 24.3587, BCE Loss: 24.0001
Epoch 40, Loss: 20.4316, BCE Loss: 20.0738
Epoch 50, Loss: 13.0750, BCE Loss: 12.7186
Epoch 60, Loss: 10.0405, BCE Loss: 9.6849
Epoch 70, Loss: 9.0819, BCE Loss: 8.7279
Epoch 80, Loss: 8.4270, BCE Loss: 8.0754
Epoch 90, Loss: 7.6590, BCE Loss: 7.3095
Epoch 100, Loss: 7.4534, BCE Loss: 7.1063
Epoch 110, Loss: 6.9780, BCE Loss: 6.6339
Epoch 120, Loss: 6.6398, BCE Loss: 6.2991
Epoch 130, Loss: 6.5282, BCE Loss: 6.1915
Epoch 140, Loss: 6.2213, BCE Loss: 5.8889
Epoch 150, Loss: 6.1519, BCE Loss: 5.8239
Epoch 160, Loss: 5.9970, BCE Loss: 5.6730
Epoch 170, Loss: 5.9551, BCE Loss: 5.6347
Epoch 180, Loss: 5.9201, BCE Loss: 5.6032
Epoch 190, Loss: 5.8911, BCE Loss: 5.5775
2025-05-24 13:27:53,156 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 3.5341312885284424, Accuracy: 12.50%
Epoch 10, Loss: 2.2196950912475586, Accuracy: 38.00%
Epoch 20, Loss: 1.6778109073638916, Accuracy: 60.50%
Epoch 30, Loss: 1.1591668128967285, Accuracy: 83.00%
Epoch 40, Loss: 0.8208913803100586, Accuracy: 93.25%
Epoch 50, Loss: 0.6029386520385742, Accuracy: 99.50%
Epoch 60, Loss: 0.5153751373291016, Accuracy: 100.00%
Epoch 70, Loss: 0.47835391759872437, Accuracy: 100.00%
Epoch 80, Loss: 0.46146008372306824, Accuracy: 100.00%
